Player,Season,Games,TotalPTS,PPG,FG_PCT,FG3_PCT,FT_PCT,APG,RPG
A.C. Green,1985,30,212.0,7.07,0.494,0.0,0.648,1.07,5.17
A.C. Green,1986,77,564.0,7.32,0.568,0.2,0.645,0.65,5.13
A.C. Green,1987,80,986.0,12.32,0.527,0.0,0.787,1.11,8.94
A.C. Green,1988,85,859.0,10.11,0.5,0.2,0.772,1.0,7.69
A.C. Green,1989,80,1155.0,14.44,0.513,0.29,0.768,1.31,9.75
A.C. Green,1990,81,910.0,11.23,0.477,0.256,0.766,1.05,7.54
A.C. Green,1991,85,905.0,10.65,0.477,0.207,0.723,0.98,7.11
A.C. Green,1992,79,965.0,12.22,0.485,0.195,0.75,1.3,8.62
A.C. Green,1993,82,1218.0,14.85,0.523,0.321,0.745,1.52,9.24
A.C. Green,1994,84,1127.0,13.42,0.508,0.309,0.742,1.94,9.1
A.C. Green,1995,81,888.0,10.96,0.498,0.316,0.74,1.46,8.62
A.C. Green,1996,83,476.0,5.73,0.477,0.24,0.64,0.52,5.47
A.C. Green,1997,85,667.0,7.85,0.474,0.059,0.667,1.14,9.06
A.C. Green,1998,52,373.0,7.17,0.457,0.0,0.73,1.5,7.83
A.C. Green,1999,80,429.0,5.36,0.44,0.091,0.66,0.65,5.42
A.C. Green,2000,84,349.0,4.15,0.427,0.0,0.687,0.82,4.67
A.C. Green,2001,50,248.0,4.96,0.459,0.0,0.696,0.46,4.02
A.J. Bramlett,1999,8,8.0,1.0,0.19,,,0.0,2.75
A.J. English,1990,25,245.0,9.8,0.471,0.2,0.718,1.88,2.0
A.J. English,1991,74,725.0,9.8,0.438,0.065,0.736,2.64,2.31
A.J. English,1992,52,532.0,10.23,0.417,0.208,0.868,1.5,1.81
A.J. Green,2022,13,45.0,3.46,0.5,0.458,1.0,0.38,0.85
A.J. Green,2023,21,103.0,4.9,0.414,0.419,,0.71,1.38
A.J. Guyton,2000,14,62.0,4.43,0.36,0.333,0.5,1.5,0.86
A.J. Guyton,2001,30,183.0,6.1,0.423,0.408,0.842,1.83,1.1
A.J. Guyton,2002,36,197.0,5.47,0.347,0.366,0.833,1.97,0.97
A.J. Lawson,2022,2,2.0,1.0,0.5,0.0,,0.0,0.5
A.J. Lawson,2023,11,32.0,2.91,0.5,0.467,0.333,0.09,0.82
A.J. Wynder,1991,6,12.0,2.0,0.25,0.0,0.75,1.33,0.5
AJ Griffin,2022,32,337.0,10.53,0.464,0.372,0.875,1.06,2.31
AJ Griffin,2023,39,279.0,7.15,0.463,0.413,0.929,0.95,1.9
AJ Hammons,2016,17,24.0,1.41,0.409,0.667,0.2,0.12,1.18
AJ Hammons,2017,5,24.0,4.8,0.4,0.25,0.7,0.4,3.2
AJ Price,2009,12,43.0,3.58,0.349,0.273,0.778,0.75,1.25
AJ Price,2010,50,398.0,7.96,0.421,0.349,0.806,2.2,1.54
AJ Price,2011,44,292.0,6.64,0.348,0.274,0.653,2.23,1.55
AJ Price,2012,61,317.0,5.2,0.351,0.317,0.82,2.79,1.79
AJ Price,2013,52,308.0,5.92,0.401,0.348,0.766,2.5,1.37
AJ Price,2014,35,147.0,4.2,0.403,0.317,0.615,1.09,0.86
AJ Price,2015,7,18.0,2.57,0.3,0.0,,1.71,1.0
Aaron Brooks,2007,10,47.0,4.7,0.439,0.263,1.0,1.6,0.7
Aaron Brooks,2008,73,561.0,7.68,0.418,0.361,0.887,2.08,1.67
Aaron Brooks,2009,81,1143.0,14.11,0.41,0.375,0.827,4.01,1.99
Aaron Brooks,2010,60,1154.0,19.23,0.427,0.392,0.838,5.37,2.65
Aaron Brooks,2011,48,491.0,10.23,0.373,0.287,0.872,3.69,1.19
Aaron Brooks,2012,29,267.0,9.21,0.462,0.404,0.724,2.79,1.83
Aaron Brooks,2013,53,330.0,6.23,0.417,0.372,0.849,1.79,1.36
Aaron Brooks,2014,75,769.0,10.25,0.422,0.393,0.868,3.63,1.95
Aaron Brooks,2015,72,814.0,11.31,0.409,0.379,0.823,2.94,2.24
Aaron Brooks,2016,78,458.0,5.87,0.391,0.33,0.786,2.59,1.17
Aaron Brooks,2017,48,187.0,3.9,0.42,0.425,0.667,1.25,0.85
Aaron Brooks,2018,18,38.0,2.11,0.341,0.294,0.714,0.61,0.5
Aaron Gordon,2014,11,64.0,5.82,0.581,0.5,0.667,0.64,3.0
Aaron Gordon,2015,67,391.0,5.84,0.441,0.282,0.714,0.9,4.18
Aaron Gordon,2016,81,867.0,10.7,0.456,0.303,0.644,1.85,6.28
Aaron Gordon,2017,74,1187.0,16.04,0.48,0.336,0.758,2.08,6.5
Aaron Gordon,2018,64,1014.0,15.84,0.415,0.318,0.663,2.91,7.72
Aaron Gordon,2019,73,1109.0,15.19,0.432,0.315,0.737,3.59,7.15
Aaron Gordon,2020,38,568.0,14.95,0.465,0.304,0.658,3.97,7.84
Aaron Gordon,2021,75,982.0,13.09,0.484,0.349,0.688,2.97,5.59
Aaron Gordon,2022,75,1223.0,16.31,0.556,0.347,0.692,2.45,6.29
Aaron Gordon,2023,37,576.0,15.57,0.528,0.312,0.58,3.7,6.59
Aaron Gray,2007,18,76.0,4.22,0.475,,0.529,1.0,2.56
Aaron Gray,2008,73,304.0,4.16,0.51,0.0,0.581,0.74,3.77
Aaron Gray,2009,31,94.0,3.03,0.451,0.0,0.556,0.52,2.52
Aaron Gray,2010,30,102.0,3.4,0.563,,0.786,0.77,3.33
Aaron Gray,2011,38,115.0,3.03,0.548,,0.448,0.37,4.37
Aaron Gray,2012,63,224.0,3.56,0.522,,0.516,0.56,4.98
Aaron Gray,2013,37,100.0,2.7,0.512,0.0,0.545,0.78,3.3
Aaron Gray,2014,28,51.0,1.82,0.438,,0.562,0.64,3.18
Aaron Harrison,2015,5,7.0,1.4,0.667,1.0,0.333,0.0,0.8
Aaron Harrison,2016,21,12.0,0.57,0.15,0.182,0.5,0.24,0.67
Aaron Harrison,2018,9,60.0,6.67,0.275,0.209,0.765,1.22,2.67
Aaron Henry,2021,3,0.0,0.0,0.0,0.0,,0.0,0.33
Aaron Henry,2022,3,2.0,0.67,0.333,,,0.0,0.0
Aaron Holiday,2018,21,127.0,6.05,0.42,0.255,0.864,1.57,1.81
Aaron Holiday,2019,61,511.0,8.38,0.416,0.417,0.841,2.57,1.85
Aaron Holiday,2020,39,319.0,8.18,0.403,0.352,0.812,3.36,2.08
Aaron Holiday,2021,93,643.0,6.91,0.412,0.368,0.819,1.85,1.41
Aaron Holiday,2022,63,355.0,5.63,0.423,0.416,0.881,2.32,1.89
Aaron Holiday,2023,29,76.0,2.62,0.408,0.375,0.857,1.03,0.83
Aaron Jackson,2018,1,8.0,8.0,0.333,0.25,0.5,1.0,3.0
