Season,PlayerGames,AvgPTS,Avg3PA,AvgFGA,FG_PCT,FG3_PCT,FT_PCT,AvgAST,AvgREB
1946,2566,6.48,0.0,0.71,3.463,,0.958,0.0,0.0
1947,5304,7.32,0.0,0.8,3.511,,0.939,0.02,0.0
1948,5121,7.97,0.0,0.57,5.172,,0.762,0.02,0.0
1949,9026,8.12,0.0,0.46,6.22,,0.711,0.11,0.0
1950,9289,8.36,0.0,0.99,2.991,,0.725,0.22,0.05
1951,6226,9.02,0.0,1.68,1.92,,0.738,0.38,0.45
1952,6240,9.19,0.0,1.78,1.809,,0.733,0.31,0.43
1953,6132,8.84,0.0,2.05,1.494,,0.719,0.47,0.79
1954,5410,9.3,0.0,3.13,1.057,,0.719,0.8,1.5
1955,5344,10.12,0.0,3.61,0.999,,0.741,0.96,1.96
1956,5903,10.23,0.0,5.09,0.717,,0.753,1.11,2.66
1957,5681,10.83,0.0,3.97,0.989,,0.751,0.72,2.7
1958,5515,11.03,0.0,5.37,0.765,,0.751,0.82,3.43
1959,5720,11.6,0.0,5.85,0.746,,0.751,0.85,4.21
1960,5919,12.16,0.0,6.86,0.685,,0.739,1.08,4.97
1961,6426,12.48,0.0,7.93,0.606,,0.724,1.09,4.8
1962,6843,12.4,0.0,7.18,0.671,,0.728,0.94,4.32
1963,6750,11.78,0.0,7.92,0.572,,0.729,1.3,4.72
1964,7041,11.66,0.0,8.11,0.554,,0.719,1.51,5.09
1965,6806,11.85,0.0,9.42,0.483,,0.726,1.87,5.63
1966,7399,11.99,0.0,8.82,0.524,,0.726,1.85,5.34
1967,8608,12.3,0.0,8.96,0.531,,0.724,1.87,5.29
1968,9933,12.21,0.0,9.4,0.503,,0.718,2.14,5.51
1969,10840,12.16,0.0,10.03,0.473,,0.732,2.34,5.65
1970,12280,11.96,0.0,9.82,0.477,,0.746,2.42,5.32
1971,13121,11.55,0.0,9.57,0.474,,0.745,2.35,5.22
1972,13199,11.47,0.0,9.4,0.49,,0.757,2.4,5.02
1973,13553,11.17,0.0,9.17,0.499,,0.765,2.4,4.79
1974,13218,10.73,0.0,8.93,0.489,,0.766,2.32,4.68
1975,14147,10.43,0.0,8.9,0.476,,0.76,2.3,4.64
1976,16523,10.47,0.0,8.92,0.472,,0.752,2.26,4.62
1977,18258,10.66,0.0,9.03,0.474,,0.753,2.39,4.65
1978,18131,11.18,0.0,9.25,0.485,,0.751,2.53,4.67
1979,18400,11.15,0.09,9.21,0.489,0.297,0.759,2.59,4.59
1980,18284,11.02,0.22,8.94,0.49,0.331,0.758,2.57,4.44
1981,16647,10.73,0.18,8.64,0.493,0.303,0.746,2.45,4.26
1982,19582,10.68,0.19,8.7,0.492,0.298,0.746,2.51,4.28
1983,19585,10.58,0.21,8.63,0.487,0.257,0.747,2.51,4.25
1984,19617,10.68,0.25,8.6,0.493,0.257,0.763,2.51,4.16
1985,19393,10.83,0.32,8.7,0.489,0.288,0.76,2.55,4.23
1986,18642,10.7,0.36,8.64,0.484,0.286,0.759,2.53,4.26
1987,18561,10.76,0.48,8.69,0.481,0.307,0.761,2.57,4.3
1988,20074,10.64,0.52,8.63,0.48,0.319,0.77,2.5,4.25
1989,21712,10.53,0.66,8.61,0.476,0.323,0.766,2.46,4.26
1990,22694,10.54,0.66,8.57,0.478,0.332,0.764,2.48,4.24
1991,22465,10.45,0.74,8.64,0.471,0.321,0.763,2.41,4.3
1992,21737,10.41,0.78,8.57,0.474,0.334,0.757,2.44,4.28
1993,22546,10.22,0.93,8.4,0.47,0.335,0.75,2.42,4.22
